source_input,Explanation,Example,Counterexample,Array/List(1/-1),Tag/Adjacency(1/-1),metric,n,mean,sample_std,min,max,range_width,coefficient_of_variation
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,-1,-1,-1,-1,-1,accuracy,5,0.9123376623376626,0.0,0.9123376623376624,0.9123376623376624,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,-1,-1,-1,-1,1,accuracy,5,0.9123376623376626,0.0,0.9123376623376624,0.9123376623376624,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,-1,-1,-1,1,-1,accuracy,5,0.905844155844156,0.0,0.905844155844156,0.905844155844156,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,-1,-1,-1,1,1,accuracy,5,0.8961038961038961,0.0,0.8961038961038961,0.8961038961038961,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,-1,-1,1,-1,-1,accuracy,5,0.922077922077922,0.0,0.922077922077922,0.922077922077922,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,-1,-1,1,-1,1,accuracy,5,0.9188311688311688,0.0,0.9188311688311688,0.9188311688311688,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,-1,-1,1,1,-1,accuracy,5,0.9188311688311688,0.0,0.9188311688311688,0.9188311688311688,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,-1,-1,1,1,1,accuracy,5,0.9123376623376626,0.0,0.9123376623376624,0.9123376623376624,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,-1,1,-1,-1,-1,accuracy,5,0.922077922077922,0.0,0.922077922077922,0.922077922077922,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/data/results/algo1/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,-1,1,-1,-1,1,accuracy,5,0.9188311688311688,0.0,0.9188311688311688,0.9188311688311688,0.0,0.0
