algorithm,model,source_input,factor,metric,minus1_mean,plus1_mean,winner,delta_plus1_minus1
algo2,deepseek-chat-v3-0324,data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,Explanation,accuracy,0.9326298701298701,0.9359780844155845,plus1,0.0033482142857144126
algo2,deepseek-chat-v3-0324,data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,Explanation,recall,0.22697368421052627,0.19736842105263153,minus1,-0.029605263157894746
algo2,deepseek-chat-v3-0324,data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg1_sg2.csv,Explanation,precision,0.4419780509200981,0.47729640151515146,plus1,0.03531835059505334
algo2,deepseek-chat-v3-0324,data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,Explanation,accuracy,0.8928052325581396,0.895452657807309,plus1,0.0026474252491693884
algo2,deepseek-chat-v3-0324,data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,Explanation,recall,0.06514830508474571,0.08103813559322029,plus1,0.015889830508474576
algo2,deepseek-chat-v3-0324,data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg2_sg3.csv,Explanation,precision,0.2969179258241758,0.34797888410520283,plus1,0.051060958281027025
algo2,deepseek-chat-v3-0324,data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,Explanation,accuracy,0.9060848308668076,0.9139799154334038,plus1,0.007895084566596267
algo2,deepseek-chat-v3-0324,data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,Explanation,recall,0.19230769230769226,0.1754807692307692,minus1,-0.016826923076923073
algo2,deepseek-chat-v3-0324,data/results/algo2/deepseek-chat-v3-0324/evaluated/metrics_sg3_sg1.csv,Explanation,precision,0.2644795754514875,0.2870717761582028,plus1,0.022592200706715304
algo2,deepseek-chat-v3.1,data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,Explanation,accuracy,0.9310064935064934,0.9317167207792207,plus1,0.0007102272727272929
algo2,deepseek-chat-v3.1,data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,Explanation,recall,0.23684210526315783,0.2072368421052631,minus1,-0.029605263157894718
algo2,deepseek-chat-v3.1,data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg1_sg2.csv,Explanation,precision,0.4236850704132114,0.4097048784548784,minus1,-0.013980191958333
algo2,deepseek-chat-v3.1,data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,Explanation,accuracy,0.9002803156146181,0.9003841362126247,plus1,0.00010382059800662091
algo2,deepseek-chat-v3.1,data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,Explanation,recall,0.03495762711864402,0.0476694915254237,plus1,0.012711864406779676
algo2,deepseek-chat-v3.1,data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,Explanation,precision,0.3576036445279866,0.3712589950254424,plus1,0.01365535049745581
algo2,deepseek-chat-v3.1,data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,Explanation,accuracy,0.920421511627907,0.9198599365750528,minus1,-0.0005615750528541463
algo2,deepseek-chat-v3.1,data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,Explanation,recall,0.12920673076923073,0.11778846153846148,minus1,-0.011418269230769246
algo2,deepseek-chat-v3.1,data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,Explanation,precision,0.2595467967738684,0.27501605270531865,plus1,0.015469255931450265
algo2,gemini-2.0-flash-exp,data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg1_sg2.csv,Explanation,accuracy,0.9359780844155845,0.8763189935064937,minus1,-0.05965909090909083
algo2,gemini-2.0-flash-exp,data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg1_sg2.csv,Explanation,recall,0.12335526315789469,0.11677631578947363,minus1,-0.006578947368421059
algo2,gemini-2.0-flash-exp,data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg1_sg2.csv,Explanation,precision,0.38492063492063494,0.37546333874458876,minus1,-0.009457296176046182
algo2,gemini-2.0-flash-exp,data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg2_sg3.csv,Explanation,accuracy,0.9009032392026578,0.9006436877076412,minus1,-0.0002595514950165523
