Number of Words,Recall,algorithm,model,source_input
3,0.028409091666666667,algo3,deepseek-chat-v3.1,data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv
5,0.08712121666666667,algo3,deepseek-chat-v3.1,data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv
3,0.014772725000000002,algo3,deepseek-v3-chat-0324,data/results/algo3/deepseek-v3-chat-0324/evaluated/method3_results_evaluated_deepseek-chat-v3.csv
5,0.0,algo3,deepseek-v3-chat-0324,data/results/algo3/deepseek-v3-chat-0324/evaluated/method3_results_evaluated_deepseek-chat-v3.csv
3,0.027272733333333334,algo3,gemini-2.0-flash-exp,data/results/algo3/gemini-2.0-flash-exp/evaluated/method3_results_evaluated_gemini_2.0.csv
5,0.08598485833333333,algo3,gemini-2.0-flash-exp,data/results/algo3/gemini-2.0-flash-exp/evaluated/method3_results_evaluated_gemini_2.0.csv
3,0.030303033333333333,algo3,google-gemini-2.5-pro,data/results/algo3/google-gemini-2.5-pro/evaluated/method3_results_evaluated_gemini_2.5pro.csv
5,0.030303033333333333,algo3,google-gemini-2.5-pro,data/results/algo3/google-gemini-2.5-pro/evaluated/method3_results_evaluated_gemini_2.5pro.csv
3,0.0,algo3,gpt-5,data/results/algo3/gpt-5/evaluated/method3_results_evaluated_gpt5.csv
5,0.0,algo3,gpt-5,data/results/algo3/gpt-5/evaluated/method3_results_evaluated_gpt5.csv
3,0.089772725,algo3,openai-gpt-4o,data/results/algo3/openai-gpt-4o/evaluated/method3_results_evaluated_gpt4o.csv
5,0.08333333333333333,algo3,openai-gpt-4o,data/results/algo3/openai-gpt-4o/evaluated/method3_results_evaluated_gpt4o.csv
