algorithm,row_index,model,metric_name,historical_score,probe_score,score_delta,parsed_edge_count,historical_model
algo1,0,mistral-small-2506,accuracy,0.8928571428571429,0.9285714285714286,0.0357142857142857,5,gpt-5
algo1,0,mistral-small-2506,recall,0.4210526315789473,0.05263157894736842,-0.36842105263157887,5,gpt-5
algo1,0,mistral-small-2506,precision,0.2666666666666666,0.2,-0.0666666666666666,5,gpt-5
algo1,0,mistral-small-2603,accuracy,0.8928571428571429,0.9415584415584416,0.04870129870129869,6,gpt-5
algo1,0,mistral-small-2603,recall,0.4210526315789473,0.10526315789473684,-0.31578947368421045,6,gpt-5
algo1,0,mistral-small-2603,precision,0.2666666666666666,0.6666666666666666,0.4,6,gpt-5
algo1,0,mistral-medium-2508,accuracy,0.8928571428571429,0.9415584415584416,0.04870129870129869,4,gpt-5
algo1,0,mistral-medium-2508,recall,0.4210526315789473,0.10526315789473684,-0.31578947368421045,4,gpt-5
algo1,0,mistral-medium-2508,precision,0.2666666666666666,0.6666666666666666,0.4,4,gpt-5
algo1,80,mistral-small-2506,accuracy,0.8928571428571429,0.9285714285714286,0.0357142857142857,5,gpt-5
algo1,80,mistral-small-2506,recall,0.631578947368421,0.05263157894736842,-0.5789473684210527,5,gpt-5
algo1,80,mistral-small-2506,precision,0.3157894736842105,0.2,-0.1157894736842105,5,gpt-5
algo1,80,mistral-small-2603,accuracy,0.8928571428571429,0.9415584415584416,0.04870129870129869,6,gpt-5
algo1,80,mistral-small-2603,recall,0.631578947368421,0.10526315789473684,-0.5263157894736842,6,gpt-5
algo1,80,mistral-small-2603,precision,0.3157894736842105,0.6666666666666666,0.3508771929824561,6,gpt-5
algo1,80,mistral-medium-2508,accuracy,0.8928571428571429,0.9415584415584416,0.04870129870129869,5,gpt-5
algo1,80,mistral-medium-2508,recall,0.631578947368421,0.15789473684210525,-0.47368421052631576,5,gpt-5
algo1,80,mistral-medium-2508,precision,0.3157894736842105,0.6,0.28421052631578947,5,gpt-5
algo2,0,mistral-small-2506,accuracy,0.8863636363636364,0.9285714285714286,0.04220779220779225,5,gpt-5
algo2,0,mistral-small-2506,recall,0.4210526315789473,0.05263157894736842,-0.36842105263157887,5,gpt-5
algo2,0,mistral-small-2506,precision,0.25,0.2,-0.04999999999999999,5,gpt-5
algo2,0,mistral-small-2603,accuracy,0.8863636363636364,0.9415584415584416,0.05519480519480524,6,gpt-5
algo2,0,mistral-small-2603,recall,0.4210526315789473,0.10526315789473684,-0.31578947368421045,6,gpt-5
algo2,0,mistral-small-2603,precision,0.25,0.6666666666666666,0.41666666666666663,6,gpt-5
algo2,0,mistral-medium-2508,accuracy,0.8863636363636364,0.9383116883116883,0.051948051948051965,4,gpt-5
algo2,0,mistral-medium-2508,recall,0.4210526315789473,0.10526315789473684,-0.31578947368421045,4,gpt-5
algo2,0,mistral-medium-2508,precision,0.25,0.5,0.25,4,gpt-5
algo2,160,mistral-small-2506,accuracy,0.9415584415584416,0.922077922077922,-0.019480519480519543,7,gpt-5
algo2,160,mistral-small-2506,recall,0.4210526315789473,0.05263157894736842,-0.36842105263157887,7,gpt-5
algo2,160,mistral-small-2506,precision,0.5333333333333333,0.14285714285714285,-0.3904761904761905,7,gpt-5
algo2,160,mistral-small-2603,accuracy,0.9415584415584416,0.9415584415584416,0.0,6,gpt-5
algo2,160,mistral-small-2603,recall,0.4210526315789473,0.10526315789473684,-0.31578947368421045,6,gpt-5
algo2,160,mistral-small-2603,precision,0.5333333333333333,0.6666666666666666,0.1333333333333333,6,gpt-5
algo2,160,mistral-medium-2508,accuracy,0.9415584415584416,0.935064935064935,-0.006493506493506551,5,gpt-5
algo2,160,mistral-medium-2508,recall,0.4210526315789473,0.10526315789473684,-0.31578947368421045,5,gpt-5
algo2,160,mistral-medium-2508,precision,0.5333333333333333,0.4,-0.1333333333333333,5,gpt-5
algo3,0,mistral-small-2506,recall,0.0,0.0,0.0,10,gpt-5
algo3,0,mistral-small-2603,recall,0.0,0.0,0.0,28,gpt-5
algo3,0,mistral-medium-2508,recall,0.0,0.0,0.0,10,gpt-5
algo3,1,mistral-small-2506,recall,0.0,0.0,0.0,51,gpt-5
algo3,1,mistral-small-2603,recall,0.0,0.0,0.0,12,gpt-5
algo3,1,mistral-medium-2508,recall,0.0,0.0,0.0,17,gpt-5
