source_input,Explanation,Example,Counterexample,Array/List(1/-1),Tag/Adjacency(1/-1),Convergence,n_outputs,unique_output_count,mean_edge_count,sample_std_edge_count,mean_pairwise_jaccard,min_pairwise_jaccard,exact_match_pair_rate,union_edge_count
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,-1,-1,-1,-1,-1,5,1,26.0,0.0,1.0,1.0,1.0,26
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,-1,-1,-1,-1,1,5,1,21.0,0.0,1.0,1.0,1.0,21
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,-1,-1,-1,1,-1,5,1,26.0,0.0,1.0,1.0,1.0,26
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,-1,-1,-1,1,1,5,1,26.0,0.0,1.0,1.0,1.0,26
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,-1,-1,1,-1,-1,5,1,26.0,0.0,1.0,1.0,1.0,26
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,-1,-1,1,-1,1,5,1,24.0,0.0,1.0,1.0,1.0,24
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,-1,-1,1,1,-1,5,1,26.0,0.0,1.0,1.0,1.0,26
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,-1,-1,1,1,1,5,1,31.0,0.0,1.0,1.0,1.0,31
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,-1,1,-1,-1,-1,5,1,31.0,0.0,1.0,1.0,1.0,31
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,-1,1,-1,-1,1,5,1,31.0,0.0,1.0,1.0,1.0,31
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,-1,1,-1,1,-1,5,1,23.0,0.0,1.0,1.0,1.0,23
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,-1,1,-1,1,1,5,1,16.0,0.0,1.0,1.0,1.0,16
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,-1,1,1,-1,-1,5,1,31.0,0.0,1.0,1.0,1.0,31
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,-1,1,1,-1,1,5,1,30.0,0.0,1.0,1.0,1.0,30
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,-1,1,1,1,-1,5,1,16.0,0.0,1.0,1.0,1.0,16
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,-1,1,1,1,1,5,1,24.0,0.0,1.0,1.0,1.0,24
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,1,-1,-1,-1,-1,5,1,21.0,0.0,1.0,1.0,1.0,21
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,1,-1,-1,-1,1,5,1,22.0,0.0,1.0,1.0,1.0,22
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,1,-1,-1,1,-1,5,1,18.0,0.0,1.0,1.0,1.0,18
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,1,-1,-1,1,1,5,1,29.0,0.0,1.0,1.0,1.0,29
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,1,-1,1,-1,-1,5,1,21.0,0.0,1.0,1.0,1.0,21
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,1,-1,1,-1,1,5,1,28.0,0.0,1.0,1.0,1.0,28
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,1,-1,1,1,-1,5,1,24.0,0.0,1.0,1.0,1.0,24
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,1,-1,1,1,1,5,1,28.0,0.0,1.0,1.0,1.0,28
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,1,1,-1,-1,-1,5,1,20.0,0.0,1.0,1.0,1.0,20
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,1,1,-1,-1,1,5,1,29.0,0.0,1.0,1.0,1.0,29
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,1,1,-1,1,-1,5,1,31.0,0.0,1.0,1.0,1.0,31
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,1,1,-1,1,1,5,1,27.0,0.0,1.0,1.0,1.0,27
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,1,1,1,-1,-1,5,1,21.0,0.0,1.0,1.0,1.0,21
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,1,1,1,-1,1,5,1,24.0,0.0,1.0,1.0,1.0,24
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,1,1,1,1,-1,5,1,16.0,0.0,1.0,1.0,1.0,16
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,-1,1,1,1,1,1,5,1,20.0,0.0,1.0,1.0,1.0,20
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,-1,-1,-1,-1,-1,5,1,16.0,0.0,1.0,1.0,1.0,16
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,-1,-1,-1,-1,1,5,1,28.0,0.0,1.0,1.0,1.0,28
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,-1,-1,-1,1,-1,5,1,27.0,0.0,1.0,1.0,1.0,27
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,-1,-1,-1,1,1,5,1,32.0,0.0,1.0,1.0,1.0,32
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,-1,-1,1,-1,-1,5,1,18.0,0.0,1.0,1.0,1.0,18
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,-1,-1,1,-1,1,5,1,22.0,0.0,1.0,1.0,1.0,22
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,-1,-1,1,1,-1,5,1,17.0,0.0,1.0,1.0,1.0,17
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,-1,-1,1,1,1,5,1,36.0,0.0,1.0,1.0,1.0,36
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,-1,1,-1,-1,-1,5,1,23.0,0.0,1.0,1.0,1.0,23
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,-1,1,-1,-1,1,5,1,27.0,0.0,1.0,1.0,1.0,27
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,-1,1,-1,1,-1,5,1,18.0,0.0,1.0,1.0,1.0,18
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,-1,1,-1,1,1,5,1,26.0,0.0,1.0,1.0,1.0,26
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,-1,1,1,-1,-1,5,1,17.0,0.0,1.0,1.0,1.0,17
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,-1,1,1,-1,1,5,1,27.0,0.0,1.0,1.0,1.0,27
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,-1,1,1,1,-1,5,1,26.0,0.0,1.0,1.0,1.0,26
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,-1,1,1,1,1,5,1,26.0,0.0,1.0,1.0,1.0,26
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,1,-1,-1,-1,-1,5,1,22.0,0.0,1.0,1.0,1.0,22
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,1,-1,-1,-1,1,5,1,29.0,0.0,1.0,1.0,1.0,29
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,1,-1,-1,1,-1,5,1,18.0,0.0,1.0,1.0,1.0,18
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,1,-1,-1,1,1,5,1,24.0,0.0,1.0,1.0,1.0,24
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,1,-1,1,-1,-1,5,1,17.0,0.0,1.0,1.0,1.0,17
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,1,-1,1,-1,1,5,1,33.0,0.0,1.0,1.0,1.0,33
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,1,-1,1,1,-1,5,1,22.0,0.0,1.0,1.0,1.0,22
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,1,-1,1,1,1,5,1,25.0,0.0,1.0,1.0,1.0,25
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,1,1,-1,-1,-1,5,1,20.0,0.0,1.0,1.0,1.0,20
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,1,1,-1,-1,1,5,1,26.0,0.0,1.0,1.0,1.0,26
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,1,1,-1,1,-1,5,1,17.0,0.0,1.0,1.0,1.0,17
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,1,1,-1,1,1,5,1,36.0,0.0,1.0,1.0,1.0,36
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,1,1,1,-1,-1,5,1,19.0,0.0,1.0,1.0,1.0,19
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,1,1,1,-1,1,5,1,26.0,0.0,1.0,1.0,1.0,26
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,1,1,1,1,-1,5,1,15.0,0.0,1.0,1.0,1.0,15
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1,1,1,1,1,1,5,1,23.0,0.0,1.0,1.0,1.0,23
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,-1,-1,-1,-1,-1,5,1,49.0,0.0,1.0,1.0,1.0,49
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,-1,-1,-1,-1,1,5,1,61.0,0.0,1.0,1.0,1.0,61
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,-1,-1,-1,1,-1,5,1,45.0,0.0,1.0,1.0,1.0,45
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,-1,-1,-1,1,1,5,1,65.0,0.0,1.0,1.0,1.0,65
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,-1,-1,1,-1,-1,5,1,45.0,0.0,1.0,1.0,1.0,45
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,-1,-1,1,-1,1,5,1,47.0,0.0,1.0,1.0,1.0,47
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,-1,-1,1,1,-1,5,1,52.0,0.0,1.0,1.0,1.0,52
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,-1,-1,1,1,1,5,1,52.0,0.0,1.0,1.0,1.0,52
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,-1,1,-1,-1,-1,5,1,44.0,0.0,1.0,1.0,1.0,44
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,-1,1,-1,-1,1,5,1,65.0,0.0,1.0,1.0,1.0,65
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,-1,1,-1,1,-1,5,1,45.0,0.0,1.0,1.0,1.0,45
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,-1,1,-1,1,1,5,1,53.0,0.0,1.0,1.0,1.0,53
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,-1,1,1,-1,-1,5,1,58.0,0.0,1.0,1.0,1.0,58
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,-1,1,1,-1,1,5,1,59.0,0.0,1.0,1.0,1.0,59
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,-1,1,1,1,-1,5,1,46.0,0.0,1.0,1.0,1.0,46
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,-1,1,1,1,1,5,1,55.0,0.0,1.0,1.0,1.0,55
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,1,-1,-1,-1,-1,5,1,51.0,0.0,1.0,1.0,1.0,51
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,1,-1,-1,-1,1,5,1,48.0,0.0,1.0,1.0,1.0,48
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,1,-1,-1,1,-1,5,1,68.0,0.0,1.0,1.0,1.0,68
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,1,-1,-1,1,1,5,1,58.0,0.0,1.0,1.0,1.0,58
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,1,-1,1,-1,-1,5,1,50.0,0.0,1.0,1.0,1.0,50
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,1,-1,1,-1,1,5,1,61.0,0.0,1.0,1.0,1.0,61
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,1,-1,1,1,-1,5,1,53.0,0.0,1.0,1.0,1.0,53
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,1,-1,1,1,1,5,1,54.0,0.0,1.0,1.0,1.0,54
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,1,1,-1,-1,-1,5,1,59.0,0.0,1.0,1.0,1.0,59
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,1,1,-1,-1,1,5,1,48.0,0.0,1.0,1.0,1.0,48
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,1,1,-1,1,-1,5,1,68.0,0.0,1.0,1.0,1.0,68
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,1,1,-1,1,1,5,1,58.0,0.0,1.0,1.0,1.0,58
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,1,1,1,-1,-1,5,1,67.0,0.0,1.0,1.0,1.0,67
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,1,1,1,-1,1,5,1,123.0,0.0,1.0,1.0,1.0,123
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,1,1,1,1,-1,5,1,53.0,0.0,1.0,1.0,1.0,53
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,-1,1,1,1,1,1,5,1,77.0,0.0,1.0,1.0,1.0,77
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,1,-1,-1,-1,-1,-1,5,1,49.0,0.0,1.0,1.0,1.0,49
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,1,-1,-1,-1,-1,1,5,1,62.0,0.0,1.0,1.0,1.0,62
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,1,-1,-1,-1,1,-1,5,1,58.0,0.0,1.0,1.0,1.0,58
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,1,-1,-1,-1,1,1,5,1,59.0,0.0,1.0,1.0,1.0,59
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,1,-1,-1,1,-1,-1,5,1,45.0,0.0,1.0,1.0,1.0,45
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,1,-1,-1,1,-1,1,5,1,53.0,0.0,1.0,1.0,1.0,53
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,1,-1,-1,1,1,-1,5,1,46.0,0.0,1.0,1.0,1.0,46
data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg2_sg3.csv,1,-1,-1,1,1,1,5,1,51.0,0.0,1.0,1.0,1.0,51
