algorithm,model,embedding_model,decoding_algorithm,condition_label,pair_name,condition_bits,replication,status,thinking_mode_supported,raw_row_path,candidate_edge_count,verified_edge_count,accuracy,precision,recall,f1,avg_duration_seconds,avg_tokens_per_second,max_duration_seconds,max_tokens_per_second,response_trace_count,total_completion_tokens,total_prompt_tokens
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,sg1_sg2,000000,0,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/greedy/sg1_sg2/000000/rep_00/raw_row.json,17,8,0.22727272727272727,1.0,0.22727272727272727,0.37037037037037035,2.2459830000000003,32.40656983333333,7.20807,35.515746,6,456,5397
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_2,sg1_sg2,000000,0,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_2/sg1_sg2/000000/rep_00/raw_row.json,15,10,0.7727272727272727,1.0,0.7727272727272727,0.8717948717948718,2.8930018,30.280008,7.94024,33.372568,5,452,4375
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.2,sg1_sg2,000000,0,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/sg1_sg2/000000/rep_00/raw_row.json,16,10,0.0,0.0,0.0,0.0,4.143231200000001,18.5194334,10.18797,25.127676,5,436,4353
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,sg1_sg2,000000,1,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/greedy/sg1_sg2/000000/rep_01/raw_row.json,17,8,0.22727272727272727,1.0,0.22727272727272727,0.37037037037037035,2.3061955,32.09047533333334,7.59645,33.699953,6,456,5397
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_2,sg1_sg2,000000,1,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_2/sg1_sg2/000000/rep_01/raw_row.json,15,10,0.7727272727272727,1.0,0.7727272727272727,0.8717948717948718,2.9433102,29.684099000000003,8.043597,32.866964,5,452,4375
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.2,sg1_sg2,000000,1,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/sg1_sg2/000000/rep_01/raw_row.json,16,10,0.0,0.0,0.0,0.0,4.1630406,18.6223898,10.441429,24.517716,5,436,4353
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,sg1_sg2,000000,2,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/greedy/sg1_sg2/000000/rep_02/raw_row.json,17,8,0.22727272727272727,1.0,0.22727272727272727,0.37037037037037035,2.2405801666666667,32.87926,7.334284,34.904564,6,456,5397
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_2,sg1_sg2,000000,2,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_2/sg1_sg2/000000/rep_02/raw_row.json,15,10,0.7727272727272727,1.0,0.7727272727272727,0.8717948717948718,2.9698622,29.462541799999997,8.12799,32.025532,5,452,4375
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.2,sg1_sg2,000000,2,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/sg1_sg2/000000/rep_02/raw_row.json,16,10,0.0,0.0,0.0,0.0,4.103152,18.792664199999997,10.184782,25.13554,5,436,4353
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,sg1_sg2,000000,3,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/greedy/sg1_sg2/000000/rep_03/raw_row.json,17,8,0.22727272727272727,1.0,0.22727272727272727,0.37037037037037035,2.2918075,32.675782833333336,7.648447,34.2897,6,456,5397
