Depth,Recall,algorithm,model,source_input
1,0.018560608333333336,algo3,deepseek-chat-v3.1,data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv
2,0.0969697,algo3,deepseek-chat-v3.1,data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv
1,0.0,algo3,deepseek-v3-chat-0324,data/results/algo3/deepseek-v3-chat-0324/evaluated/method3_results_evaluated_deepseek-chat-v3.csv
2,0.014772725000000002,algo3,deepseek-v3-chat-0324,data/results/algo3/deepseek-v3-chat-0324/evaluated/method3_results_evaluated_deepseek-chat-v3.csv
1,0.042424250000000004,algo3,gemini-2.0-flash-exp,data/results/algo3/gemini-2.0-flash-exp/evaluated/method3_results_evaluated_gemini_2.0.csv
2,0.07083334166666666,algo3,gemini-2.0-flash-exp,data/results/algo3/gemini-2.0-flash-exp/evaluated/method3_results_evaluated_gemini_2.0.csv
1,0.017045458333333333,algo3,google-gemini-2.5-pro,data/results/algo3/google-gemini-2.5-pro/evaluated/method3_results_evaluated_gemini_2.5pro.csv
2,0.043560608333333334,algo3,google-gemini-2.5-pro,data/results/algo3/google-gemini-2.5-pro/evaluated/method3_results_evaluated_gemini_2.5pro.csv
1,0.0,algo3,gpt-5,data/results/algo3/gpt-5/evaluated/method3_results_evaluated_gpt5.csv
2,0.0,algo3,gpt-5,data/results/algo3/gpt-5/evaluated/method3_results_evaluated_gpt5.csv
1,0.008333333333333333,algo3,openai-gpt-4o,data/results/algo3/openai-gpt-4o/evaluated/method3_results_evaluated_gpt4o.csv
2,0.164772725,algo3,openai-gpt-4o,data/results/algo3/openai-gpt-4o/evaluated/method3_results_evaluated_gpt4o.csv
