algorithm,model,q1,q2,q3,p90,p95,p99,iqr
algo1,deepseek-chat-v3.1,8.0,9.0,12.0,14.0,17.0,22.41999999999996,4.0
algo1,deepseek-v3-chat-0324,11.0,14.0,17.0,22.0,25.0,47.83999999999992,6.0
algo1,gemini-2.0-flash-exp,8.0,12.0,16.0,20.0,26.0,47.20999999999998,8.0
algo1,gemini-2.5-pro,7.0,9.0,11.0,13.0,16.0,17.0,4.0
algo1,gpt-5,23.0,28.0,33.25,41.0,46.0,48.0,10.25
algo1,openai-gpt-4o,4.0,7.0,10.0,15.0,20.0,31.259999999999877,6.0
algo2,deepseek-chat-v3-0324,27.75,52.0,60.25,81.0,88.0,123.81999999999994,32.5
algo2,deepseek-chat-v3.1,27.0,39.0,48.0,58.0,69.0,79.0,21.0
algo2,gemini-2.0-flash-exp,16.75,25.0,31.25,38.0,43.0,278.81999999999357,14.5
algo2,gemini-2.5-pro,22.75,30.0,37.25,43.0,48.0,52.819999999999936,14.5
algo2,gpt-5,43.0,50.0,59.0,67.0,72.0,79.2299999999999,16.0
algo2,openai-gpt-4o,9.0,15.0,25.0,438.0,590.0,590.0,16.0
algo3,deepseek-chat-v3.1,17.0,38.0,59.0,87.0,101.0,124.87999999999988,42.0
algo3,deepseek-v3-chat-0324,44.0,58.0,85.0,110.1,137.19999999999993,248.4899999999984,41.0
algo3,gemini-2.0-flash-exp,33.0,49.0,69.25,86.1,100.0,138.70999999999984,36.25
algo3,google-gemini-2.5-pro,39.0,55.5,83.0,125.0,154.24999999999991,210.70999999999984,44.0
algo3,gpt-5,28.0,46.5,65.0,89.0,106.0,133.04999999999993,37.0
algo3,openai-gpt-4o,10.75,18.0,28.25,44.0,51.0,67.60999999999999,17.5
