model,source_input,mean_pairwise_jaccard,exact_match_pair_rate,breadth_expansion_ratio,union_edge_count,mean_edge_count,algorithm,extreme_type
gemini-2.0-flash-exp,data/results/algo1/gemini-2.0-flash-exp/raw/algorithm1_results_sg3_sg1.csv,0.6,0.6,1.8032786885245902,22,12.2,algo1,lowest_jaccard
openai-gpt-4o,data/results/algo1/openai-gpt-4o/raw/algorithm1_results_sg2_sg3.csv,0.6,0.6,1.842105263157895,7,3.8,algo1,lowest_jaccard
gemini-2.0-flash-exp,data/results/algo1/gemini-2.0-flash-exp/raw/algorithm1_results_sg1_sg2.csv,0.6799999999999999,0.6,1.6025641025641026,25,15.6,algo1,lowest_jaccard
openai-gpt-4o,data/results/algo1/openai-gpt-4o/raw/algorithm1_results_sg2_sg3.csv,0.6,0.6,1.842105263157895,7,3.8,algo1,highest_breadth_expansion
gemini-2.0-flash-exp,data/results/algo1/gemini-2.0-flash-exp/raw/algorithm1_results_sg3_sg1.csv,0.6,0.6,1.8032786885245902,22,12.2,algo1,highest_breadth_expansion
gemini-2.0-flash-exp,data/results/algo1/gemini-2.0-flash-exp/raw/algorithm1_results_sg1_sg2.csv,0.6799999999999999,0.6,1.6025641025641026,25,15.6,algo1,highest_breadth_expansion
gpt-5,data/results/algo2/gpt-5/raw/algorithm2_results_sg1_sg2.csv,0.5964387396516282,0.0,1.5848214285714286,71,44.8,algo2,lowest_jaccard
deepseek-chat-v3-0324,data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1.0,1.0,1.0,26,26.0,algo2,lowest_jaccard
deepseek-chat-v3-0324,data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1.0,1.0,1.0,21,21.0,algo2,lowest_jaccard
gpt-5,data/results/algo2/gpt-5/raw/algorithm2_results_sg1_sg2.csv,0.5964387396516282,0.0,1.5848214285714286,71,44.8,algo2,highest_breadth_expansion
deepseek-chat-v3-0324,data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1.0,1.0,1.0,26,26.0,algo2,highest_breadth_expansion
deepseek-chat-v3-0324,data/results/algo2/deepseek-chat-v3-0324/raw/algorithm2_results_sg1_sg2.csv,1.0,1.0,1.0,21,21.0,algo2,highest_breadth_expansion
deepseek-chat-v3.1,data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,0.0,0.0,5.0,183,36.6,algo3,lowest_jaccard
deepseek-chat-v3.1,data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,0.0,0.0,5.0,198,39.6,algo3,lowest_jaccard
deepseek-v3-chat-0324,data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,0.0,0.0,5.0,453,90.6,algo3,lowest_jaccard
deepseek-chat-v3.1,data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,0.0,0.0,5.0,183,36.6,algo3,highest_breadth_expansion
deepseek-chat-v3.1,data/results/algo3/deepseek-chat-v3.1/raw/Method 3 Results Deepseek Chat v3.1.csv,0.0,0.0,5.0,198,39.6,algo3,highest_breadth_expansion
deepseek-v3-chat-0324,data/results/algo3/deepseek-v3-chat-0324/raw/method3_results_deepseek.csv,0.0,0.0,5.0,453,90.6,algo3,highest_breadth_expansion
