source_input,Explanation,Example,Counterexample,Array/List(1/-1),Tag/Adjacency(1/-1),n_outputs,unique_output_count,mean_edge_count,sample_std_edge_count,mean_pairwise_jaccard,min_pairwise_jaccard,exact_match_pair_rate,union_edge_count
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,-1,-1,-1,-1,-1,5,1,12.0,0.0,1.0,1.0,1.0,12
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,-1,-1,-1,-1,1,5,1,12.0,0.0,1.0,1.0,1.0,12
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,-1,-1,-1,1,-1,5,1,16.0,0.0,1.0,1.0,1.0,16
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,-1,-1,-1,1,1,5,1,19.0,0.0,1.0,1.0,1.0,19
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,-1,-1,1,-1,-1,5,1,9.0,0.0,1.0,1.0,1.0,9
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,-1,-1,1,-1,1,5,1,10.0,0.0,1.0,1.0,1.0,10
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,-1,-1,1,1,-1,5,1,14.0,0.0,1.0,1.0,1.0,14
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,-1,-1,1,1,1,5,1,10.0,0.0,1.0,1.0,1.0,10
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,-1,1,-1,-1,-1,5,1,7.0,0.0,1.0,1.0,1.0,7
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,-1,1,-1,-1,1,5,1,11.0,0.0,1.0,1.0,1.0,11
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,-1,1,-1,1,-1,5,1,9.0,0.0,1.0,1.0,1.0,9
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,-1,1,-1,1,1,5,1,9.0,0.0,1.0,1.0,1.0,9
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,-1,1,1,-1,-1,5,1,9.0,0.0,1.0,1.0,1.0,9
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,-1,1,1,-1,1,5,1,9.0,0.0,1.0,1.0,1.0,9
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,-1,1,1,1,-1,5,1,13.0,0.0,1.0,1.0,1.0,13
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,-1,1,1,1,1,5,1,8.0,0.0,1.0,1.0,1.0,8
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,1,-1,-1,-1,-1,5,1,14.0,0.0,1.0,1.0,1.0,14
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,1,-1,-1,-1,1,5,1,14.0,0.0,1.0,1.0,1.0,14
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,1,-1,-1,1,-1,5,1,15.0,0.0,1.0,1.0,1.0,15
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,1,-1,-1,1,1,5,1,22.0,0.0,1.0,1.0,1.0,22
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,1,-1,1,-1,-1,5,1,11.0,0.0,1.0,1.0,1.0,11
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,1,-1,1,-1,1,5,1,9.0,0.0,1.0,1.0,1.0,9
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,1,-1,1,1,-1,5,1,14.0,0.0,1.0,1.0,1.0,14
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,1,-1,1,1,1,5,1,13.0,0.0,1.0,1.0,1.0,13
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,1,1,-1,-1,-1,5,1,8.0,0.0,1.0,1.0,1.0,8
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,1,1,-1,-1,1,5,1,9.0,0.0,1.0,1.0,1.0,9
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,1,1,-1,1,-1,5,1,8.0,0.0,1.0,1.0,1.0,8
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,1,1,-1,1,1,5,1,9.0,0.0,1.0,1.0,1.0,9
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,1,1,1,-1,-1,5,1,7.0,0.0,1.0,1.0,1.0,7
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,1,1,1,-1,1,5,1,9.0,0.0,1.0,1.0,1.0,9
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,1,1,1,1,-1,5,1,10.0,0.0,1.0,1.0,1.0,10
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg1_sg2.csv,1,1,1,1,1,5,1,7.0,0.0,1.0,1.0,1.0,7
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg2_sg3.csv,-1,-1,-1,-1,-1,5,1,13.0,0.0,1.0,1.0,1.0,13
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg2_sg3.csv,-1,-1,-1,-1,1,5,1,12.0,0.0,1.0,1.0,1.0,12
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg2_sg3.csv,-1,-1,-1,1,-1,5,1,10.0,0.0,1.0,1.0,1.0,10
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg2_sg3.csv,-1,-1,-1,1,1,5,1,14.0,0.0,1.0,1.0,1.0,14
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg2_sg3.csv,-1,-1,1,-1,-1,5,1,9.0,0.0,1.0,1.0,1.0,9
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg2_sg3.csv,-1,-1,1,-1,1,5,1,11.0,0.0,1.0,1.0,1.0,11
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg2_sg3.csv,-1,-1,1,1,-1,5,1,8.0,0.0,1.0,1.0,1.0,8
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg2_sg3.csv,-1,-1,1,1,1,5,1,13.0,0.0,1.0,1.0,1.0,13
data/results/algo1/deepseek-chat-v3.1/raw/algorithm1_results_sg2_sg3.csv,-1,1,-1,-1,-1,5,1,8.0,0.0,1.0,1.0,1.0,8
